"subject" "activity" "measurement" "mean_of_means"
"1" "1" "LAYING" "tBodyAcc.mean...X" 0.22159824394
"2" "1" "LAYING" "tBodyAcc.mean...Y" -0.0405139534294
"3" "1" "LAYING" "tBodyAcc.mean...Z" -0.11320355358
"4" "1" "LAYING" "tGravityAcc.mean...X" -0.24888179828
"5" "1" "LAYING" "tGravityAcc.mean...Y" 0.70554977346
"6" "1" "LAYING" "tGravityAcc.mean...Z" 0.4458177198
"7" "1" "LAYING" "tBodyAccJerk.mean...X" 0.0810865342
"8" "1" "LAYING" "tBodyAccJerk.mean...Y" 0.0038382040088
"9" "1" "LAYING" "tBodyAccJerk.mean...Z" 0.010834236361
"10" "1" "LAYING" "tBodyGyro.mean...X" -0.016553093978
"11" "1" "LAYING" "tBodyGyro.mean...Y" -0.064486124088
"12" "1" "LAYING" "tBodyGyro.mean...Z" 0.14868943626
"13" "1" "LAYING" "tBodyGyroJerk.mean...X" -0.107270949192
"14" "1" "LAYING" "tBodyGyroJerk.mean...Y" -0.04151728689
"15" "1" "LAYING" "tBodyGyroJerk.mean...Z" -0.0740501211
"16" "1" "LAYING" "tBodyAccMag.mean.." -0.8419291525
"17" "1" "LAYING" "tGravityAccMag.mean.." -0.8419291525
"18" "1" "LAYING" "tBodyAccJerkMag.mean.." -0.9543962646
"19" "1" "LAYING" "tBodyGyroMag.mean.." -0.874759548
"20" "1" "LAYING" "tBodyGyroJerkMag.mean.." -0.96346103
"21" "1" "LAYING" "fBodyAcc.mean...X" -0.9390990524
"22" "1" "LAYING" "fBodyAcc.mean...Y" -0.86706520518
"23" "1" "LAYING" "fBodyAcc.mean...Z" -0.8826668762
"24" "1" "LAYING" "fBodyAccJerk.mean...X" -0.9570738838
"25" "1" "LAYING" "fBodyAccJerk.mean...Y" -0.9224626098
"26" "1" "LAYING" "fBodyAccJerk.mean...Z" -0.9480609042
"27" "1" "LAYING" "fBodyGyro.mean...X" -0.850249174586
"28" "1" "LAYING" "fBodyGyro.mean...Y" -0.9521914948
"29" "1" "LAYING" "fBodyGyro.mean...Z" -0.909302721
"30" "1" "LAYING" "fBodyAccMag.mean.." -0.8617676481
"31" "1" "LAYING" "fBodyBodyAccJerkMag.mean.." -0.9333003608
"32" "1" "LAYING" "fBodyBodyGyroMag.mean.." -0.8621901854
"33" "1" "LAYING" "fBodyBodyGyroJerkMag.mean.." -0.9423669466
